Country,Flag,Service,Number
United States,🇺🇸,Emergency,911
United States,🇺🇸,Poison Control,1-800-222-1222
United States,🇺🇸,National Suicide Prevention,988
United States,🇺🇸,Domestic Violence,1-800-799-7233
United Kingdom,🇬🇧,Emergency,999 or 112
United Kingdom,🇬🇧,NHS Direct,111
United Kingdom,🇬🇧,Poison Information,111
United Kingdom,🇬🇧,Samaritans,116 123
India,🇮🇳,National Emergency,112
India,🇮🇳,Ambulance,108
India,🇮🇳,Police,100
India,🇮🇳,Fire,101
Canada,🇨🇦,Emergency,911
Canada,🇨🇦,Poison Control,1-800-268-9017
Canada,🇨🇦,Mental Health Helpline,1-866-531-2600
Australia,🇦🇺,Emergency,000
Australia,🇦🇺,Poison Information,13 11 26
Australia,🇦🇺,Lifeline,13 11 14
Germany,🇩🇪,Emergency,112
Germany,🇩🇪,Police,110
France,🇫🇷,Emergency,112
France,🇫🇷,Samu (Ambulance),15
France,🇫🇷,Police,17
France,🇫🇷,Fire,18
Japan,🇯🇵,Emergency,110 or 119
Japan,🇯🇵,Ambulance,119
Japan,🇯🇵,Police,110
